MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,92,2026-03-02,2,0.40474092747433116,0.4141935385873738,0.33975902532939367,0.45398775179419576,0.0737566416418933
31UFT,20,2026-03-02,3,0.29716323673965844,0.29235881056551766,0.2865573668934843,0.3026415147811928,0.037989012862681706
31UFT,16,2026-03-02,4,0.39845997654147447,0.41750166754643575,0.3615142024047748,0.4305780710423497,0.058640679708725524
31UFT,13,2026-03-02,5,0.5040007734190387,0.5007320631838693,0.4711992321469685,0.5144976592968551,0.03768893618645817
31UFT,35,2026-03-02,6,0.20820208984864588,0.22911052268483376,0.1524547641939338,0.263945586230435,0.06810418821927479
31UFT,190,2026-03-05,0,0.7242028323656551,0.7292946988033889,0.7136331535868916,0.7433720632363461,0.05004158724916464
31UFT,9,2026-03-05,1,0.26492789728183913,0.3146198862004445,0.14917126010519313,0.31504569828833284,0.06829635719957994
31UFT,92,2026-03-05,2,0.38175132880822116,0.3744863462608771,0.32753821495098256,0.43790848081810296,0.07152760505108352
31UFT,20,2026-03-05,3,0.2881152903055679,0.2895522401337635,0.26211453708345883,0.3060240727363385,0.037557425570187986
31UFT,16,2026-03-05,4,0.3998600578433685,0.3985765148144593,0.3706395524735156,0.4287262610415738,0.07055744987614244
31UFT,13,2026-03-05,5,0.5091666477961586,0.4944237807014458,0.4579606411757629,0.5300400640292341,0.05826101354444128
31UFT,35,2026-03-05,6,0.12811766743674843,0.12968298907411024,0.04999997380655231,0.2328767123287671,0.14267197757309638
31UFT,190,2026-03-07,0,0.06803265207257742,0.06994757004461351,0.05942454947347876,0.07525753026924578,0.011796735633019072
31UFT,9,2026-03-07,1,9.567190563641939e-06,-0.0006831446348348223,-0.0006932800186384348,0.002353244810315894,0.0028898032206255957
31UFT,1,2026-03-07,2,0.017663510949726412,0.017663510949726412,0.017663510949726412,0.017663510949726412,0.0
31UFT,1,2026-03-07,3,0.026777320169148904,0.026777320169148904,0.026777320169148904,0.026777320169148904,0.0
31UFT,0,2026-03-07,4,,,,,
31UFT,13,2026-03-07,5,0.02974955878663307,0.030409985220010937,0.026677695418788054,0.03161558758155947,0.004771180418812226
31UFT,35,2026-03-07,6,0.0075870790932498645,0.00814288915686016,0.004258676836059345,0.01207363072550887,0.006410832319077432
31UFT,190,2026-03-09,0,0.5733063429165693,0.5811038345115439,0.5506964165570006,0.5985759475752054,0.047606338440835894
31UFT,9,2026-03-09,1,0.1377928035079182,0.1351210640818227,0.1314615556296204,0.1354334639511993,0.012548036196500457
31UFT,92,2026-03-09,2,0.24610310056988086,0.24177627603372134,0.2135379383112227,0.2741589070675822,0.04337934203169324
31UFT,20,2026-03-09,3,0.15810226785685197,0.163507501645925,0.15155201759044418,0.1660501078956158,0.010146581612093857
31UFT,16,2026-03-09,4,0.19724800485595076,0.19066845012645095,0.17889265281620179,0.22509224767611297,0.0278678395123839
31UFT,13,2026-03-09,5,0.18261190766325391,0.17727638952427952,0.1737323069145774,0.18300029419514,0.01729869276924862
31UFT,35,2026-03-09,6,0.13323681666289774,0.12372634296081371,0.09404761577426302,0.15823076129644587,0.05150436224371899
31UFT,0,2026-03-10,0,,,,,
31UFT,0,2026-03-10,1,,,,,
31UFT,0,2026-03-10,2,,,,,
31UFT,0,2026-03-10,3,,,,,
31UFT,0,2026-03-10,4,,,,,
31UFT,0,2026-03-10,5,,,,,
31UFT,0,2026-03-10,6,,,,,
31UFT,0,2026-03-12,0,,,,,
31UFT,0,2026-03-12,1,,,,,
31UFT,0,2026-03-12,2,,,,,
31UFT,0,2026-03-12,3,,,,,
31UFT,0,2026-03-12,4,,,,,
31UFT,0,2026-03-12,5,,,,,
31UFT,0,2026-03-12,6,,,,,
31UFT,0,2026-03-12,0,,,,,
31UFT,0,2026-03-12,1,,,,,
31UFT,0,2026-03-12,2,,,,,
31UFT,0,2026-03-12,3,,,,,
31UFT,0,2026-03-12,4,,,,,
31UFT,0,2026-03-12,5,,,,,
31UFT,0,2026-03-12,6,,,,,
31UFT,190,2026-03-15,0,0.7414256640886651,0.7454183096169177,0.721757219545875,0.7588369476082527,0.04891263282373201
31UFT,9,2026-03-15,1,0.2564944688247016,0.2602546254326039,0.2272446004396627,0.2805099834217796,0.04557680279839386
31UFT,92,2026-03-15,2,0.4237528461913429,0.4272300292123979,0.3653136440060424,0.48523724022682097,0.08356776412021802
31UFT,20,2026-03-15,3,0.26694666796710675,0.27606075739738456,0.2264956970708592,0.3059273534921872,0.05041521158633374
31UFT,16,2026-03-15,4,0.4010458093031083,0.39484239630659557,0.352716129971189,0.4432989608093114,0.06300791458754687
31UFT,13,2026-03-15,5,0.5612475997896672,0.5616815882809303,0.5298245760799372,0.5652777698011725,0.059827720184065576
31UFT,6,2026-03-15,6,0.23226671237162183,0.2559852827018577,0.1524547641939338,0.27250309552783275,0.070019575275944
31UFT,0,2026-03-17,0,,,,,
31UFT,0,2026-03-17,1,,,,,
31UFT,0,2026-03-17,2,,,,,
